Id,2919
MSSubClass,16
MSZoning,5
LotFrontage,128
LotArea,1951
Street,2
Alley,2
LotShape,4
LandContour,4
Utilities,2
LotConfig,5
LandSlope,3
Neighborhood,25
Condition1,9
Condition2,8
BldgType,5
HouseStyle,8
OverallQual,10
OverallCond,9
YearBuilt,118
YearRemodAdd,61
RoofStyle,6
RoofMatl,8
Exterior1st,15
Exterior2nd,16
MasVnrType,4
MasVnrArea,444
ExterQual,4
ExterCond,5
Foundation,6
BsmtQual,4
BsmtCond,4
BsmtExposure,4
BsmtFinType1,6
BsmtFinSF1,991
BsmtFinType2,6
BsmtFinSF2,272
BsmtUnfSF,1135
TotalBsmtSF,1058
Heating,6
HeatingQC,5
CentralAir,2
Electrical,5
1stFlrSF,1083
2ndFlrSF,635
LowQualFinSF,36
GrLivArea,1292
BsmtFullBath,4
BsmtHalfBath,3
FullBath,5
HalfBath,3
BedroomAbvGr,8
KitchenAbvGr,4
KitchenQual,4
TotRmsAbvGrd,14
Functional,7
Fireplaces,5
FireplaceQu,5
GarageType,6
GarageYrBlt,103
GarageFinish,3
GarageCars,6
GarageArea,603
GarageQual,5
GarageCond,5
PavedDrive,3
WoodDeckSF,379
OpenPorchSF,252
EnclosedPorch,183
3SsnPorch,31
ScreenPorch,121
PoolArea,14
PoolQC,3
Fence,4
MiscFeature,4
MiscVal,38
MoSold,12
YrSold,5
SaleType,9
SaleCondition,6
SalePrice,663
